geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [0.         0.         0.54404404]
 [0.         0.         1.08808809]
 [0.         0.         1.63213213]]",[-0.09747902 -0.09747905],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72480498 -0.65968798 -0.13372537  0.14692524]
 [ 0.65968798  0.72480498  0.14692524  0.13372537]
 [ 0.14692524 -0.13372537  0.65968798 -0.72480498]
 [-0.13372537 -0.14692524  0.72480498  0.65968798]]",-1.8153487769513568,-1.7857351196230211
"[[0.         0.         0.        ]
 [0.         0.         0.54604605]
 [0.         0.         1.09209209]
 [0.         0.         1.63813814]]",[-0.09747902 -0.09747905],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72467217 -0.65983387 -0.13375495  0.14689832]
 [ 0.65983387  0.72467217  0.14689832  0.13375495]
 [ 0.14689832 -0.13375495  0.65983387 -0.72467217]
 [-0.13375495 -0.14689832  0.72467217  0.65983387]]",-1.8215871718703927,-1.7922751896259117
"[[0.         0.         0.        ]
 [0.         0.         0.54804805]
 [0.         0.         1.0960961 ]
 [0.         0.         1.64414414]]",[-0.09351903 -0.09351981],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72278285 -0.64715313 -0.16174088  0.18060363]
 [ 0.64716112  0.72278952  0.18057693  0.1617089 ]
 [ 0.180636   -0.16170473  0.64714509 -0.72279005]
 [-0.16167275 -0.18060929  0.72279672  0.64715308]]",-1.8277409438180792,-1.8162295047933816
"[[0.         0.         0.        ]
 [0.         0.         0.55005005]
 [0.         0.         1.1001001 ]
 [0.         0.         1.65015015]]",[-0.09912207 -0.09912203],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72440616 -0.66012591 -0.13381415  0.1468444 ]
 [ 0.66012591  0.72440616  0.1468444   0.13381415]
 [ 0.1468444  -0.13381415  0.66012591 -0.72440616]
 [-0.13381415 -0.1468444   0.72440616  0.66012591]]",-1.833810421230483,-1.8051012823457497
"[[0.         0.         0.        ]
 [0.         0.         0.55205205]
 [0.         0.         1.1041041 ]
 [0.         0.         1.65615616]]",[-0.09464794 -0.09464716],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72252217 -0.64765574 -0.16142583  0.18012623]
 [ 0.6476476   0.72251542  0.18015334  0.16145845]
 [ 0.18009296 -0.16146295  0.64766393 -0.72251483]
 [-0.16149557 -0.18012007  0.72250807  0.6476558 ]]",-1.839794214869439,-1.8282379969899298
"[[0.         0.         0.        ]
 [0.         0.         0.55405405]
 [0.         0.         1.10810811]
 [0.         0.         1.66216216]]",[-0.10022661 -0.10022662],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72414047 -0.66041735 -0.13387322  0.14679054]
 [ 0.66041735  0.72414047  0.14679054  0.13387322]
 [ 0.14679054 -0.13387322  0.66041735 -0.72414047]
 [-0.13387322 -0.14679054  0.72414047  0.66041735]]",-1.8456913647044981,-1.8175634764133775
"[[0.         0.         0.        ]
 [0.         0.         0.55605606]
 [0.         0.         1.11211211]
 [0.         0.         1.66816817]]",[-0.10022661 -0.10022662],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72400815 -0.66056241 -0.13390263  0.14676372]
 [ 0.66056241  0.72400815  0.14676372  0.13390263]
 [ 0.14676372 -0.13390263  0.66056241 -0.72400815]
 [-0.13390263 -0.14676372  0.72400815  0.66056241]]",-1.8515016119348289,-1.8236496270790403
"[[0.         0.         0.        ]
 [0.         0.         0.55805806]
 [0.         0.         1.11611612]
 [0.         0.         1.67417417]]",[-0.09635345 -0.09635432],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72209803 -0.64840703 -0.16112374  0.17939315]
 [ 0.64841543  0.72210499  0.17936514  0.16108991]
 [ 0.17942814 -0.16108477  0.64839849 -0.7221057 ]
 [-0.16105095 -0.17940013  0.72211266  0.64840689]]",-1.857233397277854,-1.8456111202274887
"[[0.         0.         0.        ]
 [0.         0.         0.56006006]
 [0.         0.         1.12012012]
 [0.         0.         1.68018018]]",[-0.10189903 -0.10189902],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72374317 -0.66085272 -0.13396148  0.14671   ]
 [ 0.66085272  0.72374317  0.14671     0.13396148]
 [ 0.14671    -0.13396148  0.66085272 -0.72374317]
 [-0.13396148 -0.14671     0.72374317  0.66085272]]",-1.8628859738957857,-1.8355857294057518
"[[0.         0.         0.        ]
 [0.         0.         0.56206206]
 [0.         0.         1.12412412]
 [0.         0.         1.68618619]]",[-0.09750313 -0.0975022 ],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72184093 -0.64890274 -0.16080454  0.17892123]
 [ 0.64889434  0.72183372  0.17895031  0.1608384 ]
 [ 0.17888587 -0.16084388  0.6489117  -0.72183287]
 [-0.16087774 -0.17891495  0.72182566  0.64890331]]",-1.8684584171652752,-1.8567917442113338
"[[0.         0.         0.        ]
 [0.         0.         0.56406406]
 [0.         0.         1.12812813]
 [0.         0.         1.69219219]]",[-0.10342152 -0.10342158],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72347868 -0.66114227 -0.13402017  0.14665639]
 [ 0.66114227  0.72347868  0.14665639  0.13402017]
 [ 0.14665639 -0.13402017  0.66114227 -0.72347868]
 [-0.13402017 -0.14665639  0.72347868  0.66114227]]",-1.8739502018534484,-1.8471815269053542
"[[0.         0.         0.        ]
 [0.         0.         0.56606607]
 [0.         0.         1.13213213]
 [0.         0.         1.6981982 ]]",[-0.10342152 -0.10342158],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72334692 -0.66128642 -0.13404939  0.14662968]
 [ 0.66128642  0.72334692  0.14662968  0.13404939]
 [ 0.14662968 -0.13404939  0.66128642 -0.72334692]
 [-0.13404939 -0.14662968  0.72334692  0.66128642]]",-1.879360040191104,-1.852844292407812
